10A,,,20A,,,30A,,,40A,,,50A,,,60A,,
Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W)
93.816,9.98,110.702,94.334,20.02,191.552,94.195,29.95,248.752,,,,,,,,,
94.207,10.03,115.185,94.694,20.25,197.33,94.601,29.94,241.9,,,,,,,,,
94.571,10.02,108.485,95.097,19.66,199.449,95.002,29.97,245.901,,,,,,,,,
94.974,9.99,110.515,95.5,20.14,194.585,95.37,29.96,248.316,,,,,,,,,
95.339,9.99,110.401,95.866,19.51,209.4,95.727,30,247.263,,,,,,,,,
95.7,9.99,113.907,96.223,20.28,199.962,96.131,29.96,246.366,,,,,,,,,
96.076,9.99,112.716,96.6,20.05,198.077,96.533,30.05,242.099,,,,,,,,,
96.439,10,116.129,96.989,20.01,206.235,96.9,30,243.8,,,,,,,,,
96.8,10,112.652,97.363,19.88,200.51,97.258,30.01,246.953,,,,,,,,,
97.174,10,115.153,97.73,20.03,196.086,97.636,30.09,246.181,,,,,,,,,
97.553,9.99,113.81,98.132,19.98,211.128,98.022,30.05,251.251,,,,,,,,,
97.929,10,113.714,98.499,19.96,203.985,98.406,30.04,245.593,,,,,,,,,
98.293,10.01,113.853,98.86,20.02,208.096,98.763,29.96,242.965,,,,,,,,,
98.653,9.98,113.939,99.233,20.07,206.061,99.164,30.01,248.872,,,,,,,,,
99.012,9.97,113.789,99.598,20.01,197.164,99.533,29.97,245.47,,,,,,,,,
99.379,9.99,116.216,99.958,20,188.242,99.891,29.94,243.555,,,,,,,,,
99.744,10.02,116.227,100.318,19.98,209.136,100.267,30,250.936,,,,,,,,,
100.104,9.99,118.484,100.685,19.98,206.235,100.634,30.05,244.358,,,,,,,,,
100.481,9.99,112.673,101.087,19.96,205.044,100.993,29.96,244.45,,,,,,,,,
